row_type,seed,sample_index,background_objects,branch_count,total_objects,total_relations,selected_objects,selected_relations,objectification_score,full_tensor_bytes,selected_tensor_bytes,tensor_byte_reduction,full_tensorize_ms,selected_tensorize_ms,tensorize_latency_reduction,full_state_memory_bytes,selected_state_memory_bytes,selected_state_memory_reduction,branch_overlay_bytes,base_plus_overlay_bytes,full_copy_branch_bytes,branch_memory_reduction,dense_object_work_proxy,sparse_object_work_proxy,work_proxy_reduction,full_graph_forward_ms,selected_sparse_forward_ms,selected_local_dense_forward_ms,sparse_forward_latency_reduction,local_dense_forward_latency_reduction,sample_count
sample,13,0,2048,8,2052,2052,4,4,0.938101,135476,308,0.997727,60.956100,0.233400,0.996171,311904,608,0.998051,2176,314080,2495232,0.874128,33685632,128,0.999996,311.927400,1.121767,1.522833,0.996404,0.995118,1
sample,13,1,2048,1,2052,2052,4,4,0.938101,135476,308,0.997727,45.830800,0.204800,0.995531,311904,608,0.998051,272,312176,311904,0.000000,4210704,16,0.999996,352.155100,0.894467,1.596500,0.997460,0.995466,1
sample,13,1,2048,3,2052,2052,4,4,0.938101,135476,308,0.997727,66.382200,0.244400,0.996318,311904,608,0.998051,816,312720,935712,0.665795,12632112,48,0.999996,333.877900,1.277000,2.512200,0.996175,0.992476,1
sample,13,1,2048,8,2052,2052,4,4,0.938101,135476,308,0.997727,66.451900,0.230400,0.996533,311904,608,0.998051,2176,314080,2495232,0.874128,33685632,128,0.999996,335.697367,1.191567,2.222000,0.996450,0.993381,1
sample,13,2,2048,1,2053,2053,5,5,0.938124,135542,374,0.997241,57.776500,0.237500,0.995889,312056,760,0.997565,272,312328,312056,0.000000,4214809,25,0.999994,329.117567,0.967867,1.750967,0.997059,0.994680,1
sample,13,2,2048,3,2053,2053,5,5,0.938124,135542,374,0.997241,67.286700,0.421500,0.993736,312056,760,0.997565,816,312872,936168,0.665795,12644427,75,0.999994,316.648900,0.920900,1.846600,0.997092,0.994168,1
sample,13,2,2048,8,2053,2053,5,5,0.938124,135542,374,0.997241,64.192000,0.279900,0.995640,312056,760,0.997565,2176,314232,2496448,0.874128,33718472,200,0.999994,338.483967,0.884767,1.573567,0.997386,0.995351,1
sample,13,3,2048,1,2053,2053,5,5,0.938124,135542,374,0.997241,45.924200,0.230800,0.994974,312056,760,0.997565,272,312328,312056,0.000000,4214809,25,0.999994,323.002967,1.052967,1.571833,0.996740,0.995134,1
sample,13,3,2048,3,2053,2053,5,5,0.938124,135542,374,0.997241,66.116000,0.284100,0.995703,312056,760,0.997565,816,312872,936168,0.665795,12644427,75,0.999994,340.062833,0.998600,1.525900,0.997063,0.995513,1
sample,13,3,2048,8,2053,2053,5,5,0.938124,135542,374,0.997241,66.108900,0.263400,0.996016,312056,760,0.997565,2176,314232,2496448,0.874128,33718472,200,0.999994,334.055167,1.001000,1.587200,0.997003,0.995249,1
sample,13,4,2048,1,2053,2053,5,5,0.938124,135542,374,0.997241,58.158900,0.255500,0.995607,312056,760,0.997565,272,312328,312056,0.000000,4214809,25,0.999994,312.406033,1.254533,1.604233,0.995984,0.994865,1
sample,13,4,2048,3,2053,2053,5,5,0.938124,135542,374,0.997241,66.166600,0.288500,0.995640,312056,760,0.997565,816,312872,936168,0.665795,12644427,75,0.999994,317.659833,0.956833,1.765867,0.996988,0.994441,1
sample,13,4,2048,8,2053,2053,5,5,0.938124,135542,374,0.997241,65.401000,0.278300,0.995745,312056,760,0.997565,2176,314232,2496448,0.874128,33718472,200,0.999994,335.751733,1.482033,1.608367,0.995586,0.995210,1
sample,13,5,2048,1,2053,2053,5,5,0.938124,135542,374,0.997241,49.661400,0.321900,0.993518,312056,760,0.997565,272,312328,312056,0.000000,4214809,25,0.999994,314.206300,1.117433,1.679767,0.996444,0.994654,1
sample,13,5,2048,3,2053,2053,5,5,0.938124,135542,374,0.997241,61.920500,0.277900,0.995512,312056,760,0.997565,816,312872,936168,0.665795,12644427,75,0.999994,328.326067,0.884000,1.553100,0.997308,0.995270,1
sample,13,5,2048,8,2053,2053,5,5,0.938124,135542,374,0.997241,67.638300,0.267000,0.996053,312056,760,0.997565,2176,314232,2496448,0.874128,33718472,200,0.999994,325.436633,0.946233,1.583200,0.997092,0.995135,1
