mode,shift,total_n,escape_rate,mean_selected_k,max_selected_k,mean_observation_budget,causal_recall,trajectory_mse,state_integrity,observation_hit_rate,objective,work_proxy,bytes_proxy
wpu-adaptive-observation,weak_anomaly,128,0.75,26.0,32.0,0.28125,0.476562,0.295336,0.77445,0.061756,0.299555,26.0,936.0
wpu-learned-observation,weak_anomaly,128,0.75,32.0,32.0,1.375,0.585938,0.259424,0.795802,0.289211,0.280049,32.0,1152.0
dense-state-copy,weak_anomaly,128,0.75,8.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,128.0,4608.0
wpu-neighbor-only,weak_anomaly,512,0.0,24.0,24.0,0.0,0.960938,0.072444,0.933014,0.0,0.072444,24.0,864.0
wpu-fixed-observation,weak_anomaly,512,0.0,32.0,32.0,8.0,0.914062,0.110194,0.903002,0.0,0.230194,32.0,1152.0
wpu-adaptive-observation,weak_anomaly,512,0.0,24.0,24.0,0.0,0.957031,0.074212,0.931731,0.0,0.074212,24.0,864.0
wpu-learned-observation,weak_anomaly,512,0.0,24.0,24.0,0.0,0.949219,0.074817,0.931325,0.0,0.074817,24.0,864.0
dense-state-copy,weak_anomaly,512,0.0,8.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,512.0,18432.0
wpu-neighbor-only,weak_anomaly,512,0.25,24.0,24.0,0.0,0.75,0.167676,0.860192,0.0,0.167676,24.0,864.0
wpu-fixed-observation,weak_anomaly,512,0.25,32.0,32.0,8.0,0.953125,0.091005,0.917295,0.617188,0.211005,32.0,1152.0
wpu-adaptive-observation,weak_anomaly,512,0.25,24.25,32.0,0.03125,0.804688,0.146091,0.87509,0.010417,0.14656,24.25,873.0
wpu-learned-observation,weak_anomaly,512,0.25,24.5,32.0,0.0625,0.765625,0.160574,0.864165,0.046875,0.161512,24.5,882.0
dense-state-copy,weak_anomaly,512,0.25,8.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,512.0,18432.0
wpu-neighbor-only,weak_anomaly,512,0.5,24.0,24.0,0.0,0.554688,0.255909,0.798954,0.0,0.255909,24.0,864.0
wpu-fixed-observation,weak_anomaly,512,0.5,32.0,32.0,8.0,0.902344,0.11189,0.900669,0.760937,0.23189,32.0,1152.0
wpu-adaptive-observation,weak_anomaly,512,0.5,25.0,32.0,0.125,0.597656,0.237514,0.811291,0.044271,0.239389,25.0,900.0
wpu-learned-observation,weak_anomaly,512,0.5,25.0,32.0,0.15625,0.609375,0.235743,0.811858,0.067708,0.238086,25.0,900.0
dense-state-copy,weak_anomaly,512,0.5,8.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,512.0,18432.0
wpu-neighbor-only,weak_anomaly,512,0.75,24.0,24.0,0.0,0.398438,0.327455,0.756053,0.0,0.327455,24.0,864.0
wpu-fixed-observation,weak_anomaly,512,0.75,32.0,32.0,8.0,0.878906,0.127304,0.889134,0.808705,0.247304,32.0,1152.0
wpu-adaptive-observation,weak_anomaly,512,0.75,25.25,32.0,0.15625,0.414062,0.322372,0.758036,0.034152,0.324716,25.25,909.0
